Date,Open,High,Low,Close
24-02-15,207.289993,207.289993,201.699997,204.110001
25-02-15,204.940002,207.139999,202.580002,203.759995
26-02-15,204,211.089996,202.220001,207.190002
27-02-15,206.899994,208.550003,202.800003,203.339996
02-03-15,202.699997,203.339996,195.830002,197.330002
03-03-15,196.809998,200.240005,195.320007,199.559998
04-03-15,199.25,202.520004,197.210007,202.440002
05-03-15,202.850006,206.190002,200.149994,200.630005
06-03-15,199.210007,200.75,192.149994,193.880005
09-03-15,194.389999,194.490005,188.25,190.880005
10-03-15,188.460007,193.5,187.600006,190.320007
11-03-15,191.149994,196.179993,191.009995,193.740005
12-03-15,193.75,194.449997,189.75,191.070007
13-03-15,188.949997,191.75,187.320007,188.679993
16-03-15,192,195.910004,189.800003,195.699997
17-03-15,195.429993,198.710007,193.940002,194.729996
18-03-15,194.960007,200.880005,193.110001,200.710007
19-03-15,202,204.589996,194.529999,195.649994
20-03-15,197.449997,198.990005,195.619995,198.080002
23-03-15,198.5,200.5,197.470001,199.630005
24-03-15,201.580002,203.789993,199.75,201.720001
25-03-15,198.270004,198.589996,192.699997,194.300003
26-03-15,193.919998,194.789993,189.699997,190.410004
27-03-15,189.070007,189.289993,181.399994,185
30-03-15,185.850006,192.25,181.800003,190.570007
31-03-15,193.529999,193.759995,188.410004,188.770004
01-04-15,188.699997,192.300003,186.050003,187.589996
02-04-15,190.229996,193.229996,190,191
06-04-15,198,207.75,197.5,203.100006
